exit_time,dir,entry,exit,pnl_usd,equity
2023-02-07 04:04:00-05:00,1,12454.923999999999,12483.693999999996,570.399999999936,570.399999999936
2023-02-07 11:08:00-05:00,1,12458.224,12495.614,742.7999999999884,1313.1999999999243
2023-02-08 07:03:00-05:00,1,12684.979,12723.538999999997,766.1999999999534,2079.3999999998778
2023-02-10 11:58:00-05:00,1,12312.117999999999,12236.059,-1526.1799999999857,553.219999999892
2023-02-10 15:00:00-05:00,1,12253.207999999999,12290.325999999997,737.3599999999715,1290.5799999998635
2023-02-13 03:41:00-05:00,-1,12282.014,12297.539,-315.5000000000291,975.0799999998344
2023-02-14 10:28:00-05:00,1,12608.108,12577.569,-615.7800000000134,359.299999999821
2023-02-15 03:30:00-05:00,1,12491.884,12512.413999999999,405.5999999999767,764.8999999997977
2023-02-15 07:13:00-05:00,1,12519.729,12567.928999999996,958.9999999999418,1723.8999999997395
2023-02-15 11:06:00-05:00,-1,12532.853,12566.139,-670.7200000000012,1053.1799999997384
2023-02-15 14:59:00-05:00,-1,12662.024,12629.733999999999,640.8000000000175,1693.9799999997558
2023-02-17 09:45:00-05:00,1,12332.768,12301.479,-630.7800000000134,1063.1999999997424
2023-02-17 11:28:00-05:00,1,12309.428,12254.599,-1101.5799999999945,-38.38000000025204
2023-02-21 03:15:00-05:00,1,12288.887999999999,12274.939,-283.9799999999741,-322.36000000022614
2023-02-22 07:21:00-05:00,1,12048.034,12090.843999999997,851.1999999999534,528.8399999997273
2023-02-22 10:57:00-05:00,-1,12043.899000000001,12082.047,-767.9599999999846,-239.12000000025728
2023-02-22 15:03:00-05:00,-1,12116.813999999998,12024.863999999994,1834.0000000000873,1594.87999999983
2023-02-23 03:18:00-05:00,-1,12154.689,12165.359,-218.40000000000146,1376.4799999998286
2023-02-23 03:31:00-05:00,-1,12168.617999999999,12176.869,-170.02000000004045,1206.4599999997881
2023-02-23 11:09:00-05:00,-1,12167.339,12061.399000000001,2113.799999999974,3320.259999999762
2023-02-24 10:55:00-05:00,1,11910.509,11903.409,-147.00000000000728,3173.2599999997547
2023-02-28 10:29:00-05:00,1,12079.423999999999,12047.869,-636.0999999999694,2537.159999999785
2023-03-01 20:41:00-05:00,-1,11983.359,11852.859,2605.0,5142.159999999785
2023-03-02 03:54:00-05:00,1,11829.819,11864.738999999998,693.3999999999651,5835.55999999975
2023-03-02 13:36:00-05:00,1,11882.188999999998,11951.048999999995,1372.1999999999389,7207.759999999689
2023-03-03 07:01:00-05:00,1,11987.618999999999,12096.238999999998,2167.3999999999796,9375.159999999669
2023-03-06 03:46:00-05:00,-1,12301.929,12316.059,-287.599999999984,9087.559999999685
2023-03-06 04:46:00-05:00,-1,12320.554,12291.088,584.320000000007,9671.879999999692
2023-03-06 11:10:00-05:00,-1,12444.913,12459.139,-289.51999999997497,9382.359999999717
2023-03-07 10:59:00-05:00,1,12259.968,12203.629,-1131.7799999999988,8250.579999999718
2023-03-08 10:11:00-05:00,-1,12141.249,12176.847,-716.9599999999991,7533.619999999719
2023-03-09 04:15:00-05:00,1,12154.207999999999,12142.179,-245.57999999997264,7288.039999999746
2023-03-09 10:17:00-05:00,-1,12326.444,12293.354,656.8000000000029,7944.839999999749
2023-03-09 13:15:00-05:00,-1,12289.923999999999,12193.373999999996,1926.0000000000582,9870.839999999807
2023-03-09 15:16:00-05:00,-1,12085.109,12020.093,1295.3199999999924,11166.1599999998
2023-03-10 03:17:00-05:00,1,11954.254,11937.989,-330.30000000002474,10835.859999999775
