rank,strategy,params,trades,win_rate,profit_factor,sharpe_ratio,total_pnl,final_equity,score
1,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 5}",42,76.19047619047619,0.30769230769117756,-1.2117406774786954,-45.00000000005457,4954.999999999945,0.22533333333333333
2,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 7}",42,76.19047619047619,0.319999999999059,-1.1455417769734622,-51.00000000005821,4948.999999999942,0.22533333333333333
3,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 3, 'tp_pips': 5}",22,77.27272727272727,0.23943661971692423,-0.9598760830221288,-27.000000000043656,4972.999999999956,0.21290909090909083
4,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 7, 'ema_slow': 13, 'sl_pips': 3, 'tp_pips': 7}",22,77.27272727272727,0.1954022988494284,-1.0079283737756521,-35.000000000045475,4964.9999999999545,0.21290909090909083
5,SUPERTREND,"{'st_period': 7, 'st_mult': 1.5, 'sl_pips': 3, 'tp_pips': 5}",129,57.36434108527132,0.3113604488075609,-2.765732766057555,-245.50000000000182,4754.499999999998,0.15155038759689923
6,SUPERTREND,"{'st_period': 7, 'st_mult': 1.5, 'sl_pips': 3, 'tp_pips': 6}",129,57.36434108527132,0.38591916558004796,-2.372373136903941,-235.50000000000637,4764.499999999994,0.15155038759689923
7,SUPERTREND,"{'st_period': 7, 'st_mult': 1.5, 'sl_pips': 3, 'tp_pips': 7}",129,57.36434108527132,0.4506699147380658,-2.0402890161282516,-225.50000000002,4774.49999999998,0.15155038759689923
8,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 5, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 5}",13,69.23076923076923,0.14999999999933303,-0.9687250148410549,-25.50000000002001,4974.49999999998,0.1476153846153846
9,RSI_EMA,"{'rsi_period': 7, 'rsi_buy': 30, 'rsi_sell': 65, 'ema_fast': 5, 'ema_slow': 15, 'sl_pips': 3, 'tp_pips': 7}",13,69.23076923076923,0.11842105263104673,-1.0066218005410694,-33.50000000002183,4966.499999999978,0.1476153846153846
10,SUPERTREND,"{'st_period': 10, 'st_mult': 1.5, 'sl_pips': 3, 'tp_pips': 5}",123,56.09756097560976,0.2855072463764869,-2.847478423741064,-246.50000000001455,4753.499999999985,0.1426829268292683
11,SUPERTREND,"{'st_period': 10, 'st_mult': 1.5, 'sl_pips': 3, 'tp_pips': 6}",123,56.09756097560976,0.35365853658521346,-2.4788143139999366,-238.50000000001273,4761.499999999987,0.1426829268292683
